"checkbox-themes","radio-consulter-offres-publiques","radio-rejoindre","checkbox-pourquoi","checkbox-souhaits","radio-type-contrat","radio-lieu","text-lieu","number-salaire-min","number-salaire-souhait","checkbox-acceptation","text-condition","radio-genre","radio-metiers","text-autre-metier","number-experience","date"
"Écologie, Santé, Éducation nationale, Agriculture et alimentation, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région","CDD (2-3 ans)","En métropole","","2500","2800","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Administration système","Développeur backend","10","2019-07-02T06:15:23+00:00"
"Écologie, Enseignement supérieur et recherche, Culture","Oui","Oui","Servir l'intérêt général, Pour avoir un travail stable","Au sein d'un ministère","CDI","En métropole","Toulouse","3500","4479","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Refuse de se prononcer","Autre","Architecte Réseau","9","2019-07-02T06:07:30+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Sports, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Pour avoir un travail stable","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","bas rhin","3000","3500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Administration système","","15","2019-07-02T06:04:54+00:00"
"Défense, Enseignement supérieur et recherche","Oui","Oui","Servir l'intérêt général","Au sein d'un ministère","Freelance, portage salarial","En métropole","toulouse","5000","6499","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Administration système","","22","2019-07-02T06:01:02+00:00"
"Écologie, Culture","Non","Je ne sais pas","Pour avoir un travail stable","Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","Loire divatte ","1200","1600","Pouvoir travailler 1-2 jours par semaine en télétravail","","Un homme","Autre","Infographiste motion designer ","10","2019-07-02T05:59:17+00:00"
"Justice, Éducation nationale","Non","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","Freelance, portage salarial","En métropole","Région Bordelaise","3000","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Autre","Ne pas avoir dans ma ligne managériale de fonctionnaire ou du moins des collaborateurs non qualifié. Pouvoir participer activement à la conception fonctionnelle des services","Un homme","Développement fullstack","","8","2019-07-02T05:36:25+00:00"
"Écologie, Santé, Culture, Sports, Interministériel","Non","Non","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En métropole","Toulouse","2200","2500","Pouvoir travailler 1-2 jours par semaine en télétravail, Travailler en méthodes agiles","","Un homme","Marketing","","10","2019-07-02T05:26:28+00:00"
"Écologie, Justice, Santé, Éducation nationale","Oui","Je ne sais pas","Pour réorienter ma carrière","Au sein d'un ministère","CDI","En métropole","Nantes","3000","3300","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Refuse de se prononcer","Autre","Gestion de projet","20","2019-07-02T05:25:52+00:00"
"Interministériel","Non","Oui","Pour avoir un travail stable","Au sein d'une région","CDI","En outre-mer","","2500","3500","Pouvoir travailler à 80-100% en télétravail, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Autre","","12","2019-07-02T05:22:22+00:00"
"Écologie, Santé, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Gard","2300","2800","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","Travaillez à mi-temps","Un homme","Data scientist","","3","2019-07-02T03:56:24+00:00"
"Écologie, Santé, Éducation nationale","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Centre Val-de-Loire","1500","1600","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail","","Un homme","Développement backend","","1","2019-07-02T03:45:59+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Sécurité / secours","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un département, Au sein d'une commune","CDI","En métropole","Montpellier","2500","2700","Ne pas être soumis à des habilitations de sécurité / défense, Travailler 35h / semaine, Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","5","2019-07-01T22:37:35+00:00"
"Défense, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","2000","3000","Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Développement fullstack","","2","2019-07-01T22:32:52+00:00"
"Écologie, Éducation nationale, Enseignement supérieur et recherche, Sécurité / secours, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région","CDI","En métropole","lyon","3500","4000","Pouvoir travailler sous GNU/Linux, Pouvoir utiliser mes logiciels habituels","logiciels libres et open source","Un homme","Product management","","28","2019-07-01T22:29:59+00:00"
"Écologie, Défense, Agriculture et alimentation, Sécurité / secours","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En région parisienne","","4000","4500","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Un homme","Autre","Cyber sécurité","8","2019-07-01T22:29:18+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En région parisienne","Paris, Melun, Fontainebleau","4000","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil)","","Un homme","Data scientist","","20","2019-07-01T22:29:03+00:00"
"Écologie, Justice, Éducation nationale, Agriculture et alimentation","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour réorienter ma carrière","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","Le havre","2400","2600","Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","Ingénieur","10","2019-07-01T22:09:23+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","","2500","3000","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Product management","","3","2019-07-01T21:47:18+00:00"
"Écologie, Culture, Agriculture et alimentation, Sports, Renseignement, lutte contre la fraude","Non","Non","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère","CDI","En région parisienne","","4500","7000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Pouvoir utiliser mes logiciels habituels","","Un homme","Marketing","","8","2019-07-01T21:42:22+00:00"
"Écologie, Justice, Défense, Santé, Éducation nationale, Enseignement supérieur et recherche, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Aube","2300","2500","Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","RSSI / DPO","6","2019-07-01T21:39:06+00:00"
"Écologie, Culture","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un département, Au sein d'une commune","CDI","En métropole","Caen ","2500","3000","Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement backend","","13","2019-07-01T21:34:22+00:00"
"Écologie, Santé, Éducation nationale, Agriculture et alimentation","Non","Je ne sais pas","Donner du sens à mon travail","Au sein d'une région, Au sein d'un département","CDI","En métropole","67","2400","2800","Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous MacOS, Pouvoir utiliser mes logiciels habituels","","Une femme","Autre","Manager R&D/Scrum Master","11","2019-07-01T21:34:18+00:00"
"Écologie, Santé, Éducation nationale, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","Paris","3600","4000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Data scientist","","12","2019-07-01T21:25:06+00:00"
"Écologie, Économie, Éducation nationale, Culture, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","Freelance, portage salarial","En métropole","","3000","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs","","Refuse de se prononcer","Data scientist","","3","2019-07-01T20:52:20+00:00"
"Économie, Interministériel","Non","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En région parisienne","","6000","6000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","","Une femme","Product management","","20","2019-07-01T20:50:15+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Travailler au côté de métiers différents du mien, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Rouen","2100","2500","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","3","2019-07-01T20:40:23+00:00"
"Écologie, Justice, Santé, Enseignement supérieur et recherche, Agriculture et alimentation, Sports","Non","Je ne sais pas","Donner du sens à mon travail, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une commune","CDI","En région parisienne","","3500","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Product management","Developpeuse front-end ","3.5","2019-07-01T20:13:25+00:00"
"Éducation nationale","Non","Oui","Servir l'intérêt général","Au sein d'un ministère","CDI","En métropole","","3000","3000","Pouvoir travailler à 80-100% en télétravail, Travailler en méthodes agiles, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement mobile","","8","2019-07-01T20:11:52+00:00"
"Écologie, Éducation nationale, Agriculture et alimentation","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour ne pas faire uniquement des tâches techniques","Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Cotes d'Armor ou Ille-et-Vilaine","2000","2500","Ne pas être soumis à des habilitations de sécurité / défense, Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Une femme","Développement fullstack","Ux","5","2019-07-01T20:10:50+00:00"
"Écologie, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Non","Je ne sais pas","Pour avoir un travail stable, Pour faire une césure","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","4000","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Data scientist","","13","2019-07-01T20:04:02+00:00"
"Écologie, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Sports, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour ne pas faire uniquement des tâches techniques, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Bordeaux ","2800","3200","Avoir un accès à Internet sans aucun filtrage","Être sur un projet précis dans une équipe pluridisciplinaire. Avoir les moyens de faire avec une hiérarchie facilitatrice. La forme du contrat n’a aucune importance. ","Une femme","Autre","Spécialiste du numérique, des projets innovants, depuis 30 ans des données ouvertes plus récemment ","30","2019-07-01T20:02:16+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Centre et Grand Ouest","2400","2700","Avoir des horaires de travail flexibles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux","C'est quand même un peu n'impporte quoi comme condition, par exemple : pouvoir démarrer en autonomie des serveurs. Plus je peux faire n'importe quoi sur ma machine. Rock'n roll. Le responsable sécurité va être content.","Refuse de se prononcer","Administration système","","10","2019-07-01T20:00:17+00:00"
"Enseignement supérieur et recherche","Oui","Oui","Pour avoir un travail stable","Au sein d'un ministère","CDI","En métropole","rhone-alpes","3000","5000","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","","Un homme","Data scientist","","16","2019-07-01T19:54:33+00:00"
"Défense, Enseignement supérieur et recherche","Oui","Oui","Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère","CDI","En métropole","69","3000","3497","Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Pouvoir utiliser mes logiciels habituels","","Un homme","Autre","Chercheur en sécurité informatique","1","2019-07-01T19:40:47+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région","CDI","En région parisienne","","2600","3500","Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Design de services","","5","2019-07-01T19:38:53+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation","Oui","Je ne sais pas","Servir l'intérêt général","Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","","3500","4000","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir avoir une activité annexe (enseignement, conseil)","","Un homme","Autre","Data Gouvernance","20","2019-07-01T19:31:31+00:00"
"Écologie, Santé, Économie, Éducation nationale, Sécurité / secours","Non","Non","Servir l'intérêt général, Pour faire une césure","Au sein d'une région, Au sein d'un département, Au sein d'une commune","Freelance, portage salarial","En métropole","Toulouse, Ariège ","3000","4500","Avoir des horaires de travail flexibles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","12","2019-07-01T19:24:58+00:00"
"Écologie, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Sécurité / secours","Oui","Je ne sais pas","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une commune","CDI","En métropole","Nantes","2600","3500","Travailler 35h / semaine, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Data scientist","","10","2019-07-01T19:10:18+00:00"
"Écologie, Défense, Économie, Enseignement supérieur et recherche, Culture, Interministériel","Oui","Oui","Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDD (2-3 ans)","En métropole","Vosges et Haute Saône ","2500","2800","Travailler 35h / semaine, Pouvoir démarrer en autonomie des serveurs","","Un homme","Administration système","","10","2019-07-01T19:05:55+00:00"
"Défense, Santé, Éducation nationale, Enseignement supérieur et recherche, Renseignement, lutte contre la fraude","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Nantes","2500","3000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Autre","Architecte d'entreprise/architecte solution","5","2019-07-01T19:04:56+00:00"
"Écologie, Justice, Affaires étrangères, Défense, Santé, Économie, Renseignement, lutte contre la fraude, Interministériel","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'un ministère","CDI","En région parisienne","","3500","4500","Autre","Contribuer à l'amélioration de la vie de nos concitoyens. ","Un homme","Communication","","1","2019-07-01T19:00:01+00:00"
"Écologie, Justice, Défense, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Agriculture et alimentation, Renseignement, lutte contre la fraude","Oui","Non","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'un ministère","CDI","En région parisienne","","4500","5000","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles","","Un homme","Autre","lead dev data","11","2019-07-01T18:49:45+00:00"
"Éducation nationale, Agriculture et alimentation, Sécurité / secours, Renseignement, lutte contre la fraude, Interministériel","Non","Je ne sais pas","Servir l'intérêt général","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En région parisienne","","2300","2500","Travailler 35h / semaine, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","Avoir des horaires pour gérer ses enfants ","Un homme","Autre","Développement de base de données et back end ","11","2019-07-01T18:43:07+00:00"
"Écologie, Justice, Santé, Éducation nationale, Enseignement supérieur et recherche, Culture, Agriculture et alimentation, Sécurité / secours","Non","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département","Freelance, portage salarial","En outre-mer","","2000","2400","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement fullstack","","4","2019-07-01T18:40:10+00:00"
"Écologie, Santé, Économie, Éducation nationale, Enseignement supérieur et recherche, Culture","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour avoir un travail stable, Pour réorienter ma carrière","Au sein d'un ministère, Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","","2500","2600","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Une femme","Design de services","","6","2019-07-01T18:33:33+00:00"
"Culture","Oui","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Pour avoir un travail stable, Pour ne pas faire uniquement des tâches techniques","Au sein d'un ministère","CDI","En région parisienne","Paris","4000","5000","Avoir des horaires de travail flexibles, Travailler en méthodes agiles, Pouvoir avoir une activité annexe (enseignement, conseil), Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Un homme","Data scientist","","9","2019-07-01T18:21:07+00:00"
"Écologie, Agriculture et alimentation, Sécurité / secours","Non","Oui","Servir l'intérêt général, Avoir un impact sur le quotidien","Au sein d'une région, Au sein d'un département","CDI","En métropole","Occitanie, Nouvelle Aquitaine ","2400","2600","Pouvoir travailler 1-2 jours par semaine en télétravail, Avoir des horaires de travail flexibles, Pouvoir prendre des jours de congés sans solde, Travailler en méthodes agiles, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail","","Un homme","Product management","","14","2019-07-01T18:19:56+00:00"
"Écologie, Justice, Santé, Culture, Sécurité / secours, Renseignement, lutte contre la fraude","Oui","Je ne sais pas","Servir l'intérêt général, Travailler au côté de métiers différents du mien","Au sein d'un ministère, Au sein d'une région, Au sein d'un département","CDI","En métropole","Bordeaux","3000","3500","Pouvoir travailler 1-2 jours par semaine en télétravail, Travailler en méthodes agiles, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir démarrer en autonomie des serveurs, Pouvoir utiliser mes logiciels habituels","","Une femme","Administration système","","6","2019-07-01T18:14:22+00:00"
"Écologie, Justice, Éducation nationale, Enseignement supérieur et recherche, Culture","Non","Je ne sais pas","Donner du sens à mon travail, Servir l'intérêt général, Avoir un impact sur le quotidien, Travailler au côté de métiers différents du mien, Pour avoir un travail stable","Au sein d'une région, Au sein d'un département, Au sein d'une commune","CDI","En métropole","Toulouse","2400","2800","Travailler 35h / semaine, Pouvoir travailler à 80-100% en télétravail, Avoir des horaires de travail flexibles, Pouvoir travailler sous GNU/Linux, Pouvoir travailler sous MacOS, Être libre d'installer les logiciels dont j'ai besoin sur mon poste de travail, Pouvoir utiliser mes logiciels habituels","","Un homme","Développement frontend","","15","2019-07-01T18:13:47+00:00"
"Écologie, Enseignement supérieur et recherche","Oui","Oui","Donner du sens à mon travail, Servir l'intérêt général","Au sein d'une région","CDI","En métropole","","1900","2100","Ne pas être soumis à des habilitations de sécurité / défense, Pouvoir travailler 1-2 jours par semaine en télétravail, Pouvoir travailler sous GNU/Linux, Avoir un accès à Internet sans aucun filtrage, Pouvoir démarrer en autonomie des serveurs","Produire et/ou contribuer à des logiciels libres","Un homme","Développement fullstack","","3","2019-07-01T18:10:54+00:00"
